Question,Answer
~question_language,ru
~answer_language,de
Ты фотографируешь меня.,Du fotografierst mich.
Ты встречаешь меня.,Du triffst mich.
Она видит тебя.,Sie sieht dich.
Вы(ув) звоните ему.,Sie rufen ihn an.
Он знает ее.,Er kennt sie.
Врач тебя обследует.,Der Arzt untersucht dich.
Ребенок спрашивает нас.,Das Kind fragt uns.
Друг видит это.,Der Freund sieht es.
Мальчик посещает Вас(ув).,Der Junge besucht Sie.
Учитель говорит мне.,Der Lehrer sagt mir.
Он советует Вам(ув).,Er empfiehlt Ihnen.
Это нравится мне.,Das gefällt mir.
Блузка подходит ей.,Die Bluse passt ihr. 
Чемодан принадлежит нам.,Der Koffer gehört uns.
Десерт приходится мне по вкусу.,Der Nachtisch schmeckt mir.
Учитель помогает ему.,Der Lehrer hilft ihm.
Она благодарит ее.,Sie dankt ihr.
Он видит меня.,Er sieht mich.
Я вижу тебя.,Ich sehe dich.
Она знает его.,Sie kennt ihn.
Мы знаем их.,Wir kennen sie.
Ты слышишь меня.,Du hörst mich.
Он любит её.,Er liebt sie.
Я понимаю тебя.,Ich verstehe dich.
Ты понимаешь меня.,Du verstehst mich.
Мы ищем его.,Wir suchen ihn.
Они находят нас.,Sie finden uns.
Учитель помогает мне.,Der Lehrer hilft mir.
Я даю тебе книгу.,Ich gebe dir das Buch.
Мама говорит ему.,Die Mutter sagt ihm.
Он показывает ей дом.,Er zeigt ihr das Haus.
Собака приносит нам мяч.,Der Hund bringt uns den Ball.
Он пишет вам письмо.,Er schreibt euch einen Brief.
Девочка благодарит его.,Das Mädchen dankt ihm.
Мальчик помогает ей.,Der Junge hilft ihr.
Папа рассказывает нам историю.,Der Vater erzählt uns eine Geschichte.
Я покупаю тебе яблоко.,Ich kaufe dir einen Apfel.
Мы отвечаем ему.,Wir antworten ihm.
Ты звонишь мне.,Du rufst mich an.
Она ждёт нас.,Sie wartet auf uns.
Он приглашает её.,Er lädt sie ein.
Они спрашивают его.,Sie fragen ihn.
Учитель спрашивает нас.,Der Lehrer fragt uns.
Мы слышим Вас(ув).,Wir hören Sie.
Я люблю это.,Ich liebe das.
Кошка видит это.,Die Katze sieht es.
Девочка знает это.,Das Mädchen weiß es.
Он помогает Вам(ув).,Er hilft Ihnen.
