De,Ru,ExampleDe,ExampleRu
warum,почему,Warum weinst du?,Почему ты плачешь?
wieso,почему (разг. как „warum“),Wieso lachst du?,Почему ты смеёшься?
weshalb,по какой причине,Weshalb bist du hier?,По какой причине ты здесь?
deshalb,поэтому, "Es regnet, deshalb bleibe ich zu Hause.","Идёт дождь, поэтому я остаюсь дома."
weswegen,из-за чего,Weswegen hast du angerufen?,Из-за чего ты позвонил?
deswegen,поэтому / из-за этого,"Ich bin müde, deswegen gehe ich früh ins Bett.","Я устал, поэтому иду спать рано."
wo,где,Wo bist du?,Где ты?
wohin,куда,Wohin gehst du?,Куда ты идёшь?
dahin,туда / в том направлении,Ich gehe dahin.,Я иду туда.
woher,откуда,Woher kommst du?,Откуда ты?
daher,поэтому / оттуда,"Es ist spät, daher gehe ich nach Hause.","Поздно, поэтому я иду домой."
weswegen,из-за чего,Weswegen hast du angerufen?,Из-за чего ты позвонил?
womit,с чем / с помощью чего,Womit schreibst du?,Чем ты пишешь?
damit,этим / с этим,Ich schreibe damit.,Я пишу этим.
worin,в чём,Worin besteht das Problem?,В чём заключается проблема?
darin,в этом,Ich bin darin gut.,Я в этом хорош.
worauf,на чём / на что,Worauf wartest du?,Чего ты ждёшь?
darauf,на этом / на это,Ich warte darauf.,Я жду этого.
woraus,из чего / откуда,Woraus besteht das?,Из чего это сделано?
daraus,из этого / из того,Ich habe einen Fehler gemacht. Daraus habe ich gelernt., Я сделал ошибку. Из этого я извлёк урок.
wovon,от чего / о чём,Wovon sprichst du?,О чём ты говоришь?
davon,от этого / об этом,Ich spreche davon.,Я говорю об этом.
wozu,для чего / зачем,Wozu ist das gut?,Зачем это нужно?
dazu,к этому / для этого,Dazu komme ich später.,К этому я вернусь позже.
wobei,при чём / во время чего,Wobei hast du geholfen?,В чём ты помогал?
dabei,при этом / вместе с этим,Ich war dabei.,Я был при этом.
wodurch,через что / посредством чего,Wodurch ist das passiert?,Через что это произошло?
dadurch,посредством этого / из-за этого,Dadurch habe ich gelernt.,Благодаря этому я научился.
wofür,для чего,Wofür interessierst du dich?,Чем ты интересуешься?
dafür,для этого / за это,Ich bin dafür.,Я за это.
wogegen,против чего,Wogegen bist du allergisch?,На что у тебя аллергия?
dagegen,против этого,Ich bin dagegen.,Я против этого.
woan (австр./бавар.),во что,Woan glaubst du?,Во что ты веришь? (диалект)
woran, о чём,Woran denkst du?,О чём ты думаешь?
daran,на этом / в этом,Ich denke daran.,Я думаю об этом.
worüber,о чём / над чем,Worüber redet ihr?,О чём вы говорите?
darüber,над этим / об этом,Wir reden darüber.,Мы говорим об этом.
worunter,под чем,Worunter liegt der Hund?,Под чем лежит собака?
darunter,под этим,Der Schatz liegt darunter.,Сокровище под этим.
wonach,после чего / чему,Wonach suchst du?,Что ты ищешь?
danach,после этого,Danach gehe ich ins Bett.,После этого я иду спать.
worum,о чём / Из-за чего,Worum geht es?,О чём речь? / В чём дело?
darum,поэтому / вот почему,"Ich habe keine Zeit, darum kann ich nicht kommen.","У меня нет времени, поэтому я не могу прийти."
daneben,рядом с этим,Stell es daneben.,Поставь это рядом с этим.
damals,тогда (в прошлом),Damals war alles anders.,Тогда всё было иначе.
