De,Ru
~reverse,True
stören,"мешать, беспокоить"
abschließen,заключать
aufmachen,открывать (физ.)
zumachen,закрывать (физ.)
aufpassen,следить
beenden,заканчивать
leihen,давать в аренду
nennen,называть
teilnehmen,принимать участие
unternehmen,предпринимать что-либо
untersuchen,исследовать
verlieren,терять
versuchen,"пробовать, пытаться"
wählen,выбирать
wecken,будить
wehtun,делать больно
weitermachen,продолжать
weiterhelfen,помочь продвинуться в чем-либо
austragen,разносить
bauen,строить
herstellen,производить
liefern,доставлять
organisieren,организовывать
schaffen,справляться / создавать
"die Mode","мода, одежда"
tragen,носить
"das T-Shirt",футболка
"die Bluse",блузка
"das Hemd",рубашка
"das Kleid",платье
"der Pullover",свитер
"die Hose",брюки
"die Jeans",джинсы
"der Rock",юбка
"der Anzug",костюм
"der Mantel",пальто
"der Stiefel",сапоги
"die Mütze",шапка
"der Ring",кольцо
"die Brille",очки
blond,светловолосый
dick,толстый
dünn,худой
fett,жирный
fit sein,быть в форме
sportlich,спортивный
stark,сильный
hässlich,уродливый
sympathisch,симпатичный
arm,бедный
reich,богатый
blöd,тупой
dumm,глупый
intelligent,интеллектуальный
klug,умный
faul,ленивый
fleißig,"прилежный, старательный"
freundlich,дружелюбный
froh,радостный
nett,милый
nervös,нервный
traurig,грустный
sauber,чистый
schmutzig,грязный
hart,"жесткий, твёрдый"
weich,мягкий
leer,пустой
voll,полный
rund,круглый
bunt,цветной
tief,глубокий
wach,"бодрствующий, неспящий"
aktiv,активный
offen,открытый
echt,"настоящий, неподдельный"
eng,узкий
ganz,целый
aktuell,актуальный
modern,современный
typisch,типичный
deutlich,чёткий
direkt,"прямой, прямолинейный"
dringend,"неотложный, срочный"
gefährlich,опасный
schädlich,вредный
schlimm,ужасно
schwierig,"тяжёлый, трудный"
streng,строгий
schwach,слабый
notwendig,необходимый
nützlich,полезный
praktisch,практичный
plötzlich,внезапный
privat,"личный, приватный"
total,"полностью, на 100%"
unbedingt,безусловный
vorsichtig,осторожный
wahr,"истинный, правдивый"
verschieden,разный
