De,Ru,Learned
~reverse,True
innerhalb,в пределах
per,по (через)
pro,голос «за» / на единицу
infolge,вследствие
mittels,посредством
willen,ради
voran,вперёд
aufgrund,на основании
herum,вокруг
genug,достаточно
einer,один / некто
paar,несколько / пара
einige,некоторые
beide,оба
anderer,другой
erster,первый
soviel,столько
dasselbe,то же самое
sowas,что-то вроде того
dass,что (союз)
wenn,если / когда
weil,потому что
ob,ли
indem,тем что / посредством того что
nachdem,после того как
sofern,если только
schauen,смотреть
schwimmen,плавать
schlau,хитрый
munter,бодрый
krank,больной
gute Laune,хорошее настроение
der Hunger,голод
das Video,видео
sondern,а (в значении "не что то - а что то другое")
entweder,либо
obwohl,хотя
sobald,как только
bevor,прежде чем
falls,в случае если
