Wort,Count,Lemma,Pos,Number,Case,Gender,VerbForm,Person,Mood,Tense,Degree,PronType,Foreign,Poss,Definite,Reflex
ich,86,ich,PRON,Sing,Nom,,,1,,,,Prs,,,,
heute,52,heute,ADV,,,,,,,,,,,,,
und,51,und,CCONJ,,,,,,,,,,,,,
auch,43,auch,ADV,,,,,,,,,,,,,
der,33,der,DET,Sing,Nom,Masc,,,,,,Art,,,Def,
hallo,32,Hallo,PROPN,Sing,Nom,,,,,,,,,,,
komme,30,kommen,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
nicht,27,nicht,PART,,,,,,,,,,,,,
die,26,der,DET,Sing,Nom,Fem,,,,,,Art,,,Def,
kommt,25,kommen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
euch,23,euch,PRON,Plur,Dat,,,2,,,,Prs,,,,
in,21,in,ADP,,,,,,,,,,,,,
gute,19,gut,ADJ,Sing,Nom,Fem,,,,,Pos,,,,,
von,17,von,ADP,,,,,,,,,,,,,
alles,16,alle,PRON,Sing,Nom,Neut,,,,,,Ind,,,,
kommen,15,kommen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
das,15,der,PRON,Sing,Nom,Neut,,,,,,Dem,,,,
am,15,an,ADP,Sing,Dat,Masc,,,,,,,,,,
ist,15,sein,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
bin,14,sein,AUX,Sing,,,Fin,1,Ind,Pres,,,,,,
viel,14,viel,PRON,,,,,,,,,Ind,,,,
ein,13,ein,DET,Sing,Nom,Masc,,,,,,Art,,,Ind,
mit,13,mit,ADP,,,,,,,,,,,,,
wir,12,wir,PRON,Plur,Nom,,,1,,,,Prs,,,,
zur,12,zu,ADP,Sing,Dat,Fem,,,,,,,,,,
jahr,12,Jahr,NOUN,Sing,Nom,Neut,,,,,,,,,,
es,11,es,PRON,Sing,Nom,Neut,,3,,,,Prs,,,,
einen,11,ein,DET,Sing,Acc,Masc,,,,,,Art,,,Ind,
aber,10,aber,CCONJ,,,,,,,,,,,,,
zum,10,zu,ADP,Sing,Dat,Masc,,,,,,,,,,
mich,10,mich,PRON,Sing,Acc,,,1,,,,Prs,,,,
kann,10,können,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
gruss,10,gruss,ADV,,,,,,,,Cmp,,,,,
vom,10,von,ADP,Sing,Dat,Masc,,,,,,,,,,
bis,9,bis,CCONJ,,,,,,,,,,,,,
leider,9,leider,ADV,,,,,,,,,,,,,
guten,9,gut,VERB,Plur,,,Fin,3,Ind,Past,,,,,,
allen,9,aller,PRON,Plur,Dat,,,,,,,Ind,,,,
komm,9,Komm,VERB,Sing,,,,2,Imp,,,,,,,
ja,9,ja,ADV,,,,,,,,,,,,,
freude,9,Freude,NOUN,Sing,Nom,Fem,,,,,,,,,,
zu,9,zu,ADP,,,,,,,,,,,,,
besserung,9,Besserung,NOUN,Sing,Nom,Fem,,,,,,,,,,
morgen,8,morgen,ADV,,,,,,,,,,,,,
dir,8,dir,PRON,Sing,Dat,,,2,,,,Prs,,,,
wieder,8,wieder,ADV,,,,,,,,,,,,,
mittwoch,8,Mittwoch,NOUN,Sing,Nom,Masc,,,,,,,,,,
danke,8,danke,NOUN,Sing,Nom,Fem,,,,,,,,,,
mal,8,mal,ADV,,,,,,,,,,,,,
didge,7,didge,X,,,,,,,,,,Yes,,,
beim,7,bei,ADP,Sing,Dat,Masc,,,,,,,,,,
dann,7,dann,ADV,,,,,,,,,,,,,
neue,7,neu,ADJ,Plur,Nom,Fem,,,,,Pos,,,,,
dabei,7,dabei,ADV,,,,,,,,,,,,,
wegen,7,wegen,ADP,,,,,,,,,,,,,
etwas,6,etwas,PRON,,,Neut,,,,,,Ind,,,,
da,6,da,ADV,,,,,,,,,,,,,
mir,6,mir,PRON,Sing,Dat,,,1,,,,Prs,,,,
noch,6,noch,ADV,,,,,,,,,,,,,
ihr,6,ihr,PRON,Sing,Dat,Fem,,3,,,,Prs,,,,
eibe,6,eiben,VERB,Sing,,,Fin,3,Sub,Pres,,,,,,
hab,6,Hab,X,,,,,,,,,,,,,
wer,5,wer,PRON,Sing,Nom,Masc,,,,,,Int,,,,
uhr,5,Uhr,NOUN,Sing,Nom,Fem,,,,,,,,,,
geburtstag,5,Geburtstag,NOUN,Sing,Nom,Masc,,,,,,,,,,
gesundheit,5,Gesundheit,NOUN,Sing,Nom,Fem,,,,,,,,,,
liebe,5,Liebe,NOUN,Sing,Nom,Fem,,,,,,,,,,
lieben,5,lieben,VERB,,,,Inf,,,,,,,,,
rutsch,5,rutsch,ADV,,,,,,,,Pos,,,,,
ins,5,in,ADP,Sing,Acc,Neut,,,,,,,,,,
an,5,an,ADP,,,,,,,,,,,,,
alle,5,aller,PRON,Plur,Nom,,,,,,,Ind,,,,
klar,5,klar,ADV,,,,,,,,Pos,,,,,
aus,5,aus,ADP,,,,,,,,,,,,,
keine,5,kein,DET,Sing,Nom,Fem,,,,,,Ind,,,,
prima,5,prima,ADV,,,,,,,,Pos,,,,,
herzliche,4,herzlich,ADJ,Plur,Nom,Neut,,,,,Pos,,,,,
auf,4,auf,ADP,,,,,,,,,,,,,
mein,4,mein,DET,Sing,Nom,Masc,,,,,,Prs,,Yes,,
weihnachten,4,Weihnachten,NOUN,Sing,Nom,Neut,,,,,,,,,,
neues,4,neu,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
gut,4,gut,ADV,,,,,,,,Pos,,,,,
eine,4,ein,DET,Sing,Nom,Fem,,,,,,Art,,,Ind,
heut,4,heuen,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
hat,4,haben,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
spass,4,Spass,PROPN,Sing,Nom,Masc,,,,,,,,,,
ab,3,ab,ADP,,,,,,,,,,,,,
fest,3,fest,ADV,,,,,,,,,,,,,
wird,3,werden,AUX,Sing,,,Fin,3,Ind,Pres,,,,,,
wenn,3,wenn,SCONJ,,,,,,,,,,,,,
sich,3,sich,PRON,Sing,Acc,,,3,,,,Prs,,,,Yes
werde,3,werden,AUX,Sing,,,Fin,3,Sub,Pres,,,,,,
dich,3,dich,PRON,Sing,Acc,,,2,,,,Prs,,,,Yes
freunde,3,Freund,NOUN,Plur,Nom,Masc,,,,,,,,,,
vielen,3,vieler,PRON,Sing,Nom,,,,,,,Ind,,,,
dank,3,dank,ADP,,,,,,,,,,,,,
war,3,sein,AUX,Sing,,,Fin,3,Ind,Past,,,,,,
frohes,3,froh,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
gesundes,3,gesund,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
den,3,der,DET,Plur,Dat,,,,,,,Art,,,Def,
als,3,als,ADP,,,,,,,,,,,,,
dazu,3,dazu,ADV,,,,,,,,,,,,,
herzlich,3,herzlich,ADV,,,,,,,,Pos,,,,,
willkommen,3,willkommen,ADV,,,,,,,,Pos,,,,,
schon,3,schon,ADV,,,,,,,,,,,,,
probe,3,Probe,NOUN,Sing,Nom,Fem,,,,,,,,,,
nur,3,nur,ADV,,,,,,,,,,,,,
was,3,was,PRON,Sing,Acc,Neut,,,,,,Int,,,,
nach,3,nach,ADP,,,,,,,,,,,,,
meinen,3,meinen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
schaffen,3,schaffen,VERB,,,,Inf,,,,,,,,,
gutes,3,gut,ADJ,Sing,Nom,Neut,,,,,Pos,,,,,
nachricht,3,Nachricht,NOUN,Sing,Nom,Fem,,,,,,,,,,
bitte,2,bitte,ADV,,,,,,,,,,,,,
bescheid,2,Bescheid,NOUN,Sing,Dat,Masc,,,,,,,,,,
gibt,2,geben,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
sonntag,2,Sonntag,NOUN,Sing,Acc,Masc,,,,,,,,,,
herzen,2,herzen,VERB,,,,Inf,,,,,,,,,
zeit,2,Zeit,NOUN,Sing,Nom,Fem,,,,,,,,,,
spielen,2,spielen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
freue,2,Freu,NOUN,Sing,Nom,Fem,,,,,,,,,,
los,2,los,ADV,,,,,,,,,,,,,
machen,2,machen,VERB,,,,Inf,,,,,,,,,
oder,2,oder,CCONJ,,,,,,,,,,,,,
sehr,2,sehr,ADV,,,,,,,,,,,,,
bardentreffen,2,bardentreffen,VERB,,,,Part,,,,,,,,,
sind,2,sein,AUX,Plur,,,Fin,3,Ind,Pres,,,,,,
bei,2,bei,ADP,,,,,,,,,,,,,
na,2,na,X,,,,,,,,,,,,,
koffer,2,Koffer,NOUN,Plur,Nom,Masc,,,,,,,,,,
paar,2,paar,PRON,,,,,,,,,Ind,,,,
woche,2,Woche,NOUN,Sing,Nom,Fem,,,,,,,,,,
grundreinigung,2,Grundreinigung,NOUN,Sing,Nom,Fem,,,,,,,,,,
wohl,2,wohl,ADV,,,,,,,,,,,,,
dem,2,der,DET,Sing,Dat,Masc,,,,,,Art,,,Def,
um,2,um,ADP,,,,,,,,,,,,,
aufnahmen,2,Aufnahme,VERB,,,,Inf,,,,,,,,,
aufnahme,2,Aufnahme,NOUN,Sing,Nom,Fem,,,,,,,,,,
gesund,2,gesund,ADV,,,,,,,,Pos,,,,,
probt,2,proben,VERB,Sing,,,Fin,3,Ind,Pres,,,,,,
einfach,2,einfach,ADV,,,,,,,,Pos,,,,,
jahreswechsel,2,Jahreswechsel,NOUN,Sing,Nom,Masc,,,,,,,,,,
schade,2,schade,ADV,,,,,,,,Pos,,,,,
mehr,2,mehr,ADV,,,,,,,,,,,,,
voraussichtlich,2,voraussichtlich,ADV,,,,,,,,Pos,,,,,
sehen,2,sehen,VERB,Plur,,,Fin,3,Ind,Pres,,,,,,
ebenfalls,2,ebenfalls,ADV,,,,,,,,,,,,,
sinn,2,Sinn,NOUN,Sing,Nom,Masc,,,,,,,,,,
fit,2,fit,ADV,,,,,,,,Pos,,,,,
koch,2,koch,ADV,,,,,,,,,,,,,
doch,2,doch,CCONJ,,,,,,,,,,,,,
arbeit,2,Arbeit,NOUN,Sing,Nom,Fem,,,,,,,,,,
sohn,2,Sohn,NOUN,Sing,Nom,Masc,,,,,,,,,,
